Matchnr;Dag;Datum |;Tid;Tävling;Hemmalag;Resultat;Bortalag;Spelplats;Match
25 4 1461 004;Lördag;2025-09-27;10:40;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;Lugi HF;Bollhuset A;
25 4 1461 003;Lördag;2025-09-27;13:30;Flickor - F16 Syd F16 Syd Nivå 1;HK Ankaret Röd;;H43 Lund HF;Borgebyhallen;
25 4 1461 016;Söndag;2025-10-12;12:50;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;H43 Lund HF 2;Tunahallen-Handboll;
25 4 1461 021;Lördag;2025-10-18;09:00;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;IFK Kristianstad Orange;Sparbanken Skåne Arena A;
25 4 1461 022;Lördag;2025-10-18;11:30;Flickor - F16 Syd F16 Syd Nivå 1;IFK Malmö HF;;H43 Lund HF;Lindängens Sporthall;
25 4 1461 033;Söndag;2025-11-02;10:30;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;KFUM Kalmar HK 1;Sparbanken Skåne Arena B;
25 4 1461 035;Söndag;2025-11-02;13:00;Flickor - F16 Syd F16 Syd Nivå 1;HK Drott Halmstad;;H43 Lund HF 2;Östergårdshallen;
25 4 1461 041;Lördag;2025-11-08;14:30;Flickor - F16 Syd F16 Syd Nivå 1;IK Sund;;H43 Lund HF;Norrehedshallen, Helsingborg;
25 4 1461 054;Lördag;2025-11-15;15:50;Flickor - F16 Syd F16 Syd Nivå 1;HK Ankaret Röd;;H43 Lund HF 2;Borgebyhallen;
25 4 1461 050;Söndag;2025-11-16;12:40;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;Lugi HF 2 F10;Tunahallen-Handboll;
25 4 1461 055;Söndag;2025-11-23;11:00;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;OV Helsingborg HK 1;Tunahallen-Handboll;
25 4 1461 060;Söndag;2025-11-23;13:00;Flickor - F16 Syd F16 Syd Nivå 1;Ystads IF HF;;H43 Lund HF;Ystad Arena B;
25 4 1461 067;Söndag;2025-12-07;09:30;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;Lugi HF 1 F10 ;Tunahallen-Handboll;
25 4 1461 072;Söndag;2025-12-07;11:10;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;IFK Malmö HF;Tunahallen-Handboll;
25 4 1461 074;Lördag;2025-12-13;14:00;Flickor - F16 Syd F16 Syd Nivå 1;KFUM Kalmar HK 1;;H43 Lund HF 2;Kalmar SH D;
25 4 1461 079;Lördag;2025-12-13;16:00;Flickor - F16 Syd F16 Syd Nivå 1;Höörs HK H 65 1;;H43 Lund HF;Sporthallen Höör;
25 4 1461 084;Söndag;2026-01-11;16:10;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;Lödde Vikings HK 1;Tunahallen-Handboll;
25 4 1461 089;Söndag;2026-01-11;17:50;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;IK Sund;Tunahallen-Handboll;
25 4 1461 093;Lördag;2026-01-24;14:00;Flickor - F16 Syd F16 Syd Nivå 1;Lugi HF 2 F10;;H43 Lund HF 2;Fäladshallen, Lund;
25 4 1461 098;Lördag;2026-01-24;15:30;Flickor - F16 Syd F16 Syd Nivå 1;IFK Kristianstad Blå;;H43 Lund HF;Fröknegårdshallen;
25 4 1461 106;Lördag;2026-01-31;14:15;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;Ystads IF HF;Sparbanken Skåne Arena B;
25 4 1461 101;Lördag;2026-01-31;16:30;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;HK Malmö;Sparbanken Skåne Arena B;
25 4 1461 112;Söndag;2026-02-08;15:30;Flickor - F16 Syd F16 Syd Nivå 1;Lugi HF 1 F10 ;;H43 Lund HF 2;Fäladshallen, Lund;
25 4 1461 117;Söndag;2026-02-08;17:00;Flickor - F16 Syd F16 Syd Nivå 1;Lugi HF;;H43 Lund HF;Fäladshallen, Lund;
25 4 1461 118;Söndag;2026-02-22;12:30;Flickor - F16 Syd F16 Syd Nivå 1;OV Helsingborg HK 1;;H43 Lund HF;Idrottens Hus Helsingborg;
25 4 1461 123;Söndag;2026-02-22;12:45;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;Höörs HK H 65 1;Tunahallen-Handboll;
25 4 1461 135;Lördag;2026-02-28;09:45;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;IFK Kristianstad Orange;Sparbanken Skåne Arena A;
25 4 1461 131;Lördag;2026-02-28;12:50;Flickor - F16 Syd F16 Syd Nivå 1;Lödde Vikings HK 1;;H43 Lund HF 2;Tolvåkers Idrottshall B;
25 4 1461 140;Söndag;2026-03-08;12:40;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF 2;;IFK Kristianstad Blå;Tunahallen-Handboll;
25 4 1461 137;Söndag;2026-03-08;15:15;Flickor - F16 Syd F16 Syd Nivå 1;HK Drott Halmstad;;H43 Lund HF;Östergårdshallen;
25 4 1461 150;Söndag;2026-03-22;14:00;Flickor - F16 Syd F16 Syd Nivå 1;HK Malmö;;H43 Lund HF 2;Söderkulla Sporthall;
25 4 1461 156;Söndag;2026-03-29;12:30;Flickor - F16 Syd F16 Syd Nivå 1;H43 Lund HF;;HK Ankaret Röd;Tunahallen-Handboll;
25 4 1461 157;Söndag;2026-03-29;12:30;Flickor - F16 Syd F16 Syd Nivå 1;Lugi HF;;H43 Lund HF 2;Fäladshallen, Lund;
